sweep	gR
890	-7.05329213E-002
891	-1.04742893E-002
892	-2.66672366E-002
893	7.50607054E-002
894	1.32878472E-001
895	-5.11798830E-002
896	-1.99601166E-001
897	-2.42442488E-002
898	4.45869377E-002
899	1.18396077E-001
900	-2.74198855E-002
901	-5.51980391E-002
902	-2.30227898E-001
903	-1.04292884E-001
904	-9.73662382E-002
905	-3.51638224E-002
906	-4.66926355E-002
907	-2.94775994E-001
908	-2.48652146E-001
909	-2.66116552E-001
910	-2.40995095E-001
911	-2.28074556E-001
912	-1.13837797E-001
913	1.78920583E-001
914	-2.05975903E-002
915	6.82360702E-002
916	-6.20653691E-002
917	-6.66880421E-002
918	-7.57756702E-002
919	2.60291352E-002
920	3.81584609E-004
921	-2.26248997E-002
922	-2.32865980E-001
923	-1.74467056E-001
924	-2.20470835E-001
925	-1.15082157E-001
926	7.32040846E-003
927	1.60997062E-002
928	5.81237889E-003
929	-1.49700658E-002
930	-3.10520321E-001
931	-2.96607885E-001
932	-2.65173679E-001
933	-1.86826588E-001
934	-2.05769100E-001
935	-2.39948629E-001
936	-2.46146383E-001
937	-2.31564140E-001
938	-1.84483609E-001
939	-8.13395522E-002
940	-8.52193110E-002
941	-7.64303577E-002
942	-1.79146178E-001
943	-2.81070014E-001
944	-2.52372272E-001
945	-1.90934864E-001
946	-1.66617421E-001
947	-1.29589577E-001
948	1.37295797E-001
949	2.16902898E-002
950	9.47682881E-002
951	6.47225269E-002
952	-6.01479300E-002
953	-1.09409276E-002
954	9.11036174E-004
955	9.67694522E-002
956	1.10692404E-001
957	5.83638026E-002
958	-1.78984504E-003
959	1.41692630E-002
960	-9.57873667E-002
961	2.58777152E-002
962	4.48011411E-002
963	2.48372046E-002
964	7.56765811E-002
965	7.00372853E-002
966	1.56900135E-001
967	2.55691242E-001
968	3.81914360E-002
969	-9.19467468E-002
970	-1.41998922E-001
971	-2.21830228E-002
972	1.00013634E-001
973	3.98654680E-002
974	2.99114870E-003
975	-6.08747006E-002
976	-5.52113906E-002
977	-2.12387282E-002
978	1.86754222E-002
979	7.83807682E-002
980	-7.47429145E-003
981	1.54146698E-002
982	2.42844747E-002
983	2.83181222E-001
984	1.81844931E-001
985	2.17135331E-001
986	2.84038519E-001
987	3.35610402E-001
988	3.31926857E-001
989	2.80811831E-001
990	2.56572599E-001
991	2.08287884E-001
992	1.46874128E-001
993	1.18785367E-001
994	1.17255034E-001
995	1.81797267E-001
996	2.03507146E-001
997	3.80581560E-001
998	3.47605241E-001
999	2.20176028E-001
1000	8.12021781E-002
1001	9.16450801E-002
1002	9.61185338E-002
1003	2.18710697E-001
1004	2.27281583E-001
1005	8.46617295E-002
1006	2.27066906E-001
1007	2.48181696E-001
1008	2.13233802E-001
1009	3.00016442E-001
1010	2.18911567E-001
1011	2.65312523E-001
1012	6.71578666E-003
1013	-1.10012036E-001
1014	-1.13134375E-001
1015	-1.40487014E-002
1016	-5.10142682E-002
1017	1.34817251E-002
1018	-5.24261436E-002
1019	-9.63534636E-002
1020	-1.55953961E-002
1021	-6.39647101E-004
1022	8.26346895E-002
1023	-1.77013135E-001
1024	7.60145702E-002
1025	9.17755449E-002
1026	-2.23878344E-002
1027	-4.07333079E-002
1028	-5.90504433E-002
1029	-1.15461143E-001
1030	-1.16632138E-001
1031	-1.39610436E-001
1032	-1.46790151E-001
1033	-1.58800089E-001
1034	-1.70702536E-001
1035	-1.36034822E-001
1036	-7.79526469E-002
1037	-1.62110641E-001
1038	-2.22077088E-001
1039	-2.78542448E-001
1040	-1.55378035E-001
1041	-9.60284485E-002
1042	-3.08017417E-002
1043	-8.33014699E-002
1044	-2.86051128E-002
1045	-2.53002292E-002
1046	-2.15357032E-002
1047	-9.29085303E-002
1048	-4.49053850E-002
1049	-2.68283269E-002
1050	-1.57973189E-002
1051	-9.40549067E-002
1052	-2.28880478E-002
1053	5.70837504E-002
1054	1.93202297E-001
1055	1.19161315E-001
1056	6.32953038E-002
1057	1.12168681E-001
1058	1.42488035E-001
1059	1.33342105E-001
1060	2.92471225E-001
1061	1.40508951E-001
1062	1.91431803E-001
1063	2.61559516E-001
1064	2.38808311E-001
1065	3.30818963E-002
1066	9.88613131E-002
1067	-5.27403920E-002
1068	2.61828968E-002
1069	5.08535578E-002
1070	6.63123408E-002
1071	2.32104999E-002
1072	-2.65880099E-003
1073	3.21732988E-002
1074	-1.22328909E-002
1075	-4.57262821E-002
1076	2.92887443E-002
1077	-1.26724578E-001
1078	-9.54729807E-002
1079	-2.04318088E-001
1080	-1.51614355E-002
1081	2.77921130E-002
1082	-1.89731376E-001
1083	-2.74145314E-001
1084	-1.44071769E-001
1085	-1.56062516E-001
1086	-1.33714213E-001
1087	-1.64695836E-002
1088	-1.14846674E-001
1089	-5.78183921E-002
1090	-1.18963120E-001
1091	-6.69183701E-002
1092	-8.02598252E-002
1093	-5.57386999E-003
1094	-4.36378933E-002
1095	8.98605250E-003
1096	-5.36310166E-003
1097	-6.65672687E-002
1098	6.55510363E-002
1099	-2.27622484E-002
1100	3.49742137E-001
1101	1.20512661E-001
1102	1.37744422E-001
1103	1.49220902E-001
1104	1.50127807E-001
1105	1.82345632E-001
1106	-1.28571561E-002
1107	-1.16378763E-002
1108	2.55674919E-001
1109	2.50014549E-001
1110	1.85849446E-001
1111	2.62409445E-001
1112	2.55134300E-001
1113	1.79769719E-001
1114	1.49287517E-002
1115	2.29466596E-001
1116	1.58640608E-001
1117	1.48927082E-001
1118	2.50253709E-001
1119	2.18845252E-001
1120	-1.39398302E-002
1121	1.62785666E-001
1122	1.19522155E-001
1123	1.34476652E-002
1124	-5.20677768E-002
1125	9.72434753E-002
1126	-3.16023647E-002
1127	7.44425837E-002
1128	4.68684441E-002
1129	-1.14330818E-001
1130	-1.29746865E-001
1131	-1.15260924E-001
1132	-6.66051137E-002
1133	-4.42632920E-002
1134	-4.73318181E-002
1135	-8.40844885E-003
1136	1.36594499E-001
1137	1.45056386E-002
1138	-1.00793119E-001
1139	-1.12698753E-001
1140	7.57778763E-002
1141	-7.94571328E-002
1142	-2.49180236E-002
1143	-2.75778470E-002
1144	4.37943274E-002
1145	-8.46071311E-003
1146	-1.76091891E-001
1147	-2.19924619E-001
1148	-1.85286426E-001
1149	-3.02006278E-001
1150	-2.23883372E-001
1151	-2.83310434E-001
1152	-3.04527317E-001
1153	-2.96415867E-001
1154	-3.89810983E-001
1155	-3.44921833E-001
1156	-3.39523917E-001
1157	-2.03325031E-001
1158	-1.87922596E-001
1159	-2.60068710E-002
1160	1.31836034E-002
1161	1.06662080E-001
1162	8.63791322E-002
1163	1.68143351E-001
1164	1.13365780E-001
1165	-4.85579751E-003
1166	7.05643230E-002
1167	-6.03050696E-003
1168	-7.48800898E-002
1169	-7.19006993E-002
1170	1.49275131E-002
1171	1.21622742E-003
1172	-1.29334777E-001
1173	-3.14519352E-002
1174	-3.32958462E-002
1175	-5.32490936E-002
1176	-6.35990422E-002
1177	-8.01990732E-002
1178	-2.06116502E-002
1179	-1.70078968E-001
1180	-7.91009259E-002
1181	-6.04825283E-002
1182	1.20853513E-001
1183	1.01984285E-001
1184	7.27783620E-002
1185	1.46273602E-001
1186	1.38984379E-001
1187	-1.30471891E-002
1188	3.38225615E-003
1189	8.25834188E-002
1190	1.54741495E-001
1191	-8.52212740E-002
1192	-5.66843799E-002
1193	5.10284192E-002
1194	-1.16420958E-001
1195	-9.89624087E-002
1196	-1.57967302E-001
1197	-1.48545579E-001
1198	-1.78247095E-001
1199	-5.05879778E-002
1200	-1.45872860E-001
1201	-1.19693910E-001
1202	-8.42382382E-002
1203	-6.41127543E-002
1204	-1.84890152E-001
1205	-2.50194304E-001
