sweep	g1
776	9.81804306E+002
777	9.28055155E+002
778	8.40786163E+002
779	8.53347519E+002
780	8.59297808E+002
781	9.12943784E+002
782	8.94199074E+002
783	8.76740215E+002
784	8.11264374E+002
785	8.69249493E+002
786	8.72859562E+002
787	8.54303061E+002
788	8.53011818E+002
789	8.95406640E+002
790	7.88014729E+002
791	8.40037557E+002
792	8.63886541E+002
793	8.97644344E+002
794	8.05591969E+002
795	7.91371783E+002
796	7.90907874E+002
797	7.99366694E+002
798	8.28204770E+002
799	7.82025921E+002
800	7.99365191E+002
801	8.50344545E+002
802	8.68898901E+002
803	8.78696310E+002
804	8.54086717E+002
805	8.76372206E+002
806	8.70079955E+002
807	8.94828384E+002
808	9.20877501E+002
809	9.12969057E+002
810	8.90968526E+002
811	8.63227184E+002
812	8.71925278E+002
813	8.71549557E+002
814	9.06578189E+002
815	8.69192393E+002
816	8.90506465E+002
817	8.27339041E+002
818	7.31599630E+002
819	7.52462215E+002
820	7.92901675E+002
821	8.09740988E+002
822	8.58107919E+002
823	8.82846879E+002
824	8.68032919E+002
825	8.52780911E+002
826	8.78765749E+002
827	8.30124285E+002
828	8.09097390E+002
829	8.61089074E+002
830	8.48034453E+002
831	7.92853200E+002
832	8.84560931E+002
833	8.32782263E+002
834	8.25000445E+002
835	8.70547216E+002
836	8.08181888E+002
837	7.64337854E+002
838	8.07277574E+002
839	8.10065700E+002
840	8.31020350E+002
841	8.73723536E+002
842	8.61706478E+002
843	7.77087065E+002
844	7.42702069E+002
845	7.70319998E+002
846	7.49051293E+002
847	6.92396350E+002
848	6.95654198E+002
849	7.81821820E+002
850	7.61236607E+002
851	7.72527552E+002
852	7.18685628E+002
853	7.75295913E+002
854	7.80881819E+002
855	8.49006904E+002
856	8.66351760E+002
857	8.95396661E+002
858	8.67801289E+002
859	8.51613242E+002
860	6.74142198E+002
861	6.94376616E+002
862	7.48353356E+002
863	7.09102271E+002
864	6.69068018E+002
865	8.31208687E+002
866	6.88477283E+002
867	7.26632227E+002
868	7.10379760E+002
869	7.40736796E+002
870	7.35032704E+002
871	7.54861875E+002
872	7.34849596E+002
873	7.37592215E+002
874	6.57638539E+002
875	7.40217575E+002
876	7.72616829E+002
877	7.40962591E+002
878	7.70632424E+002
879	7.51878340E+002
880	7.75708753E+002
881	8.47981656E+002
882	8.58726662E+002
883	8.99859827E+002
884	8.63796374E+002
885	8.74299965E+002
886	7.79739716E+002
887	6.42409987E+002
888	8.16820806E+002
889	8.01916806E+002
890	7.79686410E+002
891	7.86224520E+002
892	8.23196830E+002
893	7.61342601E+002
894	8.74101044E+002
895	7.93835962E+002
896	8.51155660E+002
897	7.97282989E+002
898	8.12311749E+002
899	9.04570436E+002
900	8.28758233E+002
901	8.61175340E+002
902	8.63394738E+002
903	8.49023619E+002
904	8.66899041E+002
905	8.52178456E+002
906	8.98926721E+002
907	9.20883258E+002
908	8.29058190E+002
909	8.11075766E+002
910	8.30521890E+002
911	8.14135873E+002
912	9.65225126E+002
913	8.71254014E+002
914	9.14625691E+002
915	8.60445533E+002
916	8.85895337E+002
917	8.67815483E+002
918	9.20496100E+002
919	9.86423917E+002
920	1.01891925E+003
921	1.03887994E+003
922	1.04438813E+003
923	1.09465324E+003
924	1.10317907E+003
925	1.07821026E+003
926	1.10991483E+003
927	1.08367317E+003
928	9.75311862E+002
929	9.33055213E+002
930	9.36577941E+002
931	9.37007607E+002
932	8.96330182E+002
933	9.34516000E+002
934	8.73353169E+002
935	9.85456612E+002
936	1.13455228E+003
937	1.05092896E+003
938	1.02210705E+003
939	9.84546347E+002
940	1.08691110E+003
941	1.11030002E+003
942	1.10734734E+003
943	1.14673963E+003
944	1.13497542E+003
945	1.08252882E+003
946	1.14145228E+003
947	1.11486236E+003
948	1.11323068E+003
949	1.09870309E+003
950	1.09699551E+003
951	9.92950075E+002
952	1.00558329E+003
953	9.89510994E+002
954	9.81418900E+002
955	9.74690606E+002
956	9.85499014E+002
957	1.00594036E+003
958	1.01379250E+003
959	1.00504982E+003
960	1.00777230E+003
961	1.00523396E+003
962	1.04299533E+003
963	1.03788525E+003
964	1.02246476E+003
965	1.04589550E+003
966	1.05660854E+003
967	1.01470850E+003
968	1.04657138E+003
969	9.95679770E+002
970	1.09470304E+003
971	1.06415119E+003
972	1.03762358E+003
973	1.03707063E+003
974	1.03691564E+003
975	1.11193095E+003
976	1.07822278E+003
977	1.05648428E+003
978	1.08919546E+003
979	1.10546708E+003
980	1.01892453E+003
981	1.01178758E+003
982	1.03192906E+003
983	1.05673873E+003
984	1.06920617E+003
985	1.06950338E+003
986	1.05600584E+003
987	1.05237265E+003
988	1.06580846E+003
989	1.10249666E+003
990	1.07411747E+003
991	1.08728698E+003
992	1.11562884E+003
993	1.12354782E+003
994	1.08713532E+003
995	1.18917902E+003
996	1.09434001E+003
997	1.10165398E+003
998	9.75287937E+002
999	9.45342956E+002
1000	9.81223939E+002
1001	1.02716641E+003
1002	8.98683935E+002
1003	8.89171008E+002
1004	8.69090122E+002
1005	9.79473692E+002
1006	9.31748220E+002
1007	8.89374118E+002
1008	9.56921722E+002
1009	9.30763266E+002
1010	1.01935234E+003
1011	9.47565766E+002
1012	1.07251652E+003
1013	1.05665649E+003
1014	9.84649495E+002
1015	9.72824031E+002
1016	9.38775492E+002
1017	9.15478443E+002
1018	9.52369689E+002
1019	9.47169234E+002
1020	9.27590018E+002
1021	1.02727654E+003
1022	9.57521382E+002
1023	1.06884885E+003
1024	1.07564915E+003
1025	1.01247291E+003
1026	1.01951628E+003
1027	1.13107140E+003
1028	1.05584798E+003
1029	1.07692114E+003
1030	1.02551238E+003
1031	1.04212657E+003
1032	9.18130427E+002
1033	9.10199714E+002
1034	8.85249085E+002
1035	8.56937664E+002
1036	8.69989603E+002
1037	8.48138414E+002
1038	8.62829316E+002
1039	8.88762781E+002
1040	9.39758969E+002
1041	8.82202483E+002
1042	8.74348591E+002
1043	8.55729626E+002
1044	8.72741779E+002
1045	8.98934013E+002
1046	9.47983008E+002
1047	8.79016080E+002
1048	9.03115190E+002
1049	8.65129692E+002
1050	9.20237784E+002
1051	9.34859959E+002
1052	9.34944837E+002
1053	9.56370778E+002
1054	9.12274545E+002
1055	8.82012523E+002
1056	9.43216864E+002
1057	9.10075313E+002
1058	9.33885612E+002
1059	8.92185936E+002
1060	9.19574413E+002
1061	8.49781361E+002
1062	8.45730757E+002
1063	9.30104022E+002
1064	9.12082708E+002
1065	9.60632517E+002
1066	8.97902302E+002
1067	8.54744424E+002
1068	7.75655989E+002
1069	7.99868651E+002
1070	8.08853630E+002
1071	9.33827891E+002
1072	9.29637280E+002
1073	8.83866136E+002
1074	8.76948105E+002
1075	8.92119831E+002
1076	8.83236519E+002
1077	8.33824911E+002
1078	8.75244158E+002
1079	8.74501879E+002
1080	9.02089906E+002
1081	9.37826622E+002
1082	9.30865798E+002
1083	1.00722540E+003
1084	1.03887607E+003
1085	9.82705508E+002
1086	1.01162336E+003
1087	9.46642664E+002
1088	9.37361828E+002
1089	9.42848075E+002
1090	9.54639889E+002
1091	9.80294405E+002
1092	1.01272165E+003
1093	1.00840645E+003
1094	9.74916823E+002
1095	1.01440475E+003
1096	1.04322264E+003
1097	9.47670111E+002
1098	9.40003990E+002
1099	9.40155365E+002
1100	9.99700396E+002
1101	1.03733229E+003
1102	9.75489981E+002
1103	9.77627910E+002
1104	9.49343458E+002
1105	9.10987287E+002
1106	9.17183266E+002
1107	9.43832618E+002
1108	9.51181170E+002
1109	9.31317513E+002
1110	9.42055023E+002
1111	9.34887903E+002
1112	8.80954691E+002
1113	8.94541386E+002
1114	8.91284829E+002
1115	9.00017786E+002
1116	8.47647048E+002
1117	8.65185060E+002
1118	8.72445994E+002
1119	8.16699209E+002
1120	8.00548448E+002
1121	8.27743017E+002
1122	9.72139212E+002
1123	9.72636556E+002
1124	8.30589211E+002
1125	8.77358765E+002
1126	9.28566832E+002
1127	9.01115101E+002
1128	8.89818852E+002
1129	8.88359699E+002
1130	8.64759965E+002
1131	8.54357291E+002
1132	8.35801107E+002
1133	8.68334586E+002
1134	8.51372744E+002
1135	8.18371856E+002
1136	9.00663131E+002
1137	9.94019072E+002
1138	8.81266896E+002
1139	8.17730439E+002
1140	8.15753955E+002
1141	7.84741238E+002
1142	8.21728330E+002
1143	8.35176146E+002
1144	8.04028192E+002
1145	8.13739143E+002
1146	8.76015232E+002
1147	8.22872231E+002
1148	8.39331741E+002
1149	8.40355154E+002
1150	8.28992084E+002
1151	8.20964724E+002
1152	8.23779375E+002
1153	8.69929252E+002
1154	8.58621322E+002
1155	8.88733388E+002
1156	9.20752104E+002
1157	8.59125808E+002
1158	9.49166129E+002
1159	9.28885427E+002
1160	8.17718001E+002
1161	8.08706842E+002
1162	7.85518657E+002
1163	8.01476343E+002
1164	8.44322592E+002
1165	8.08585060E+002
