sweep	g_CM
951	9.98629059E+001
952	1.00489002E+002
953	1.01463289E+002
954	9.54599267E+001
955	9.43818392E+001
956	9.38131633E+001
957	9.98235370E+001
958	1.01088142E+002
959	9.70009384E+001
960	9.18078602E+001
961	9.10593324E+001
962	9.80304397E+001
963	9.37678107E+001
964	9.28406026E+001
965	9.00761253E+001
966	8.53399362E+001
967	8.90445460E+001
968	9.16329737E+001
969	9.38274544E+001
970	9.25134339E+001
971	9.88112163E+001
972	1.05159470E+002
973	1.04659554E+002
974	1.00793080E+002
975	9.13645856E+001
976	8.70018698E+001
977	9.23141620E+001
978	8.89807851E+001
979	8.94931067E+001
980	1.01133048E+002
981	8.95633818E+001
982	8.96767344E+001
983	8.49142169E+001
984	9.19694282E+001
985	1.02745387E+002
986	9.79844484E+001
987	9.87145064E+001
988	1.01150737E+002
989	9.52068156E+001
990	9.98087940E+001
991	9.93779558E+001
992	9.37552815E+001
993	9.69213992E+001
994	9.40286528E+001
995	9.22288422E+001
996	1.05936785E+002
997	9.57686890E+001
998	1.04438528E+002
999	9.33564137E+001
1000	1.04455491E+002
1001	1.06722472E+002
1002	1.04646856E+002
1003	1.03216442E+002
1004	1.08410862E+002
1005	1.08358680E+002
1006	1.08372689E+002
1007	1.08630098E+002
1008	1.11167521E+002
1009	1.09278465E+002
1010	1.07055694E+002
1011	1.06059444E+002
1012	1.04535012E+002
1013	1.08443229E+002
1014	1.13019381E+002
1015	1.14794342E+002
1016	1.13156543E+002
1017	1.08005867E+002
1018	1.08098134E+002
1019	1.06900305E+002
1020	1.09717438E+002
1021	1.10521414E+002
1022	1.09599886E+002
1023	1.12565461E+002
1024	1.06738804E+002
1025	1.08684697E+002
1026	1.05784168E+002
1027	1.09538236E+002
1028	1.13868099E+002
1029	1.08266506E+002
1030	1.12289578E+002
1031	1.11639776E+002
1032	1.09835425E+002
1033	1.14845563E+002
1034	1.11193417E+002
1035	1.11939169E+002
1036	1.19330434E+002
1037	1.23119983E+002
1038	1.17678895E+002
1039	1.17098991E+002
1040	1.15674214E+002
1041	1.16176926E+002
1042	1.15833142E+002
1043	1.11695956E+002
1044	1.14778162E+002
1045	1.19983250E+002
1046	1.24657492E+002
1047	1.15879116E+002
1048	1.11976496E+002
1049	1.05855035E+002
1050	1.10061599E+002
1051	1.15862962E+002
1052	1.21771583E+002
1053	1.17323240E+002
1054	1.24204570E+002
1055	1.21669054E+002
1056	1.22062136E+002
1057	1.22603362E+002
1058	1.22726985E+002
1059	1.28320413E+002
1060	1.24408119E+002
1061	1.21683569E+002
1062	1.18552743E+002
1063	1.12806279E+002
1064	1.14728990E+002
1065	1.12565009E+002
1066	1.15208546E+002
1067	1.11013688E+002
1068	1.21085496E+002
1069	1.14787335E+002
1070	1.12654141E+002
1071	1.20344170E+002
1072	1.19003250E+002
1073	1.26939871E+002
1074	1.24014340E+002
1075	1.26577055E+002
1076	1.24679955E+002
1077	1.32163034E+002
1078	1.26519004E+002
1079	1.30026068E+002
1080	1.31335682E+002
1081	1.22261008E+002
1082	1.14736620E+002
1083	1.21896891E+002
1084	1.27753284E+002
1085	1.30113472E+002
1086	1.41070866E+002
1087	1.28446199E+002
1088	1.22848525E+002
1089	1.31361819E+002
1090	1.16944063E+002
1091	1.17798787E+002
1092	1.28001911E+002
1093	1.31423053E+002
1094	1.38648469E+002
1095	1.40662358E+002
1096	1.34203941E+002
1097	1.30544814E+002
1098	1.32809240E+002
1099	1.26045422E+002
1100	1.28358203E+002
1101	1.25665087E+002
1102	1.19002980E+002
1103	1.14973947E+002
1104	1.32072863E+002
1105	1.26741092E+002
1106	1.16410108E+002
1107	1.19629509E+002
1108	1.21476139E+002
1109	1.28265519E+002
1110	1.21209019E+002
1111	1.19293247E+002
